,"All People Tested
 (Positive and Negative)",,Cases (may count people more than once),,Hospitalizations,,Deaths,,All People At Least Partially Vaccinated,,All People Who Have Completed Primary Vaccine Series,,Total Vaccine Doses Administered,
Age Group,"N= 1,005,886",,"N=166,314",,"N=11,897",,"N=2,861",,"N=717,231",,"N=668,920",,"N=1,337,004",
0-4,43850,4%,4858,3%,106,1%,<5,--,0,0%,0,0%,0,0%
5-9,53158,5%,6440,4%,42,<1%,0,0%,0,0%,0,0%,0,0%
10-14,55054,5%,7737,5%,48,<1%,<5,--,23972,3%,21193,3%,45164,3%
15-18,55861,6%,9068,5%,106,1%,0,0%,36619,5%,33534,5%,69455,5%
19-24,102794,10%,20396,12%,354,3%,<5,--,57872,8%,51730,8%,105272,8%
25-29,80277,8%,14933,9%,431,4%,6,<1%,46445,6%,41986,6%,84937,6%
30-39,146116,15%,26442,16%,857,7%,18,<1%,97786,14%,89821,13%,179932,13%
40-49,118130,12%,21581,13%,1112,9%,42,1%,93997,13%,87827,13%,173923,13%
50-59,134628,13%,22974,14%,1805,15%,149,5%,120212,17%,113899,17%,220988,17%
60-69,113532,11%,16176,10%,2251,19%,361,13%,122877,17%,117708,18%,231967,17%
70-79,62562,6%,8245,5%,2284,19%,652,23%,76422,11%,72649,11%,146764,11%
80-89,27289,3%,4856,3%,1732,15%,884,31%,31568,4%,29790,4%,60686,5%
90+,10810,1%,2603,2%,767,6%,743,26%,9461,1%,8783,1%,17916,1%
Pending further information,1825,--,5,--,<5,--,0,--,0,--,0,--,0,--
Race and Ethnicity,,,,,,,,,,,,,,
Hispanic or Latino†,80927,17%,40967,28%,2482,25%,239,10%,98689,14%,88813,14%,180085,14%
American Indian or Alaska Native*,5438,1%,522,<1%,35,<1%,5,<1%,2839,<1%,2610,<1%,5303,<1%
Asian*,15536,3%,3260,2%,222,2%,50,2%,23494,3%,21858,3%,44026,3%
Black or African American*,26981,6%,10830,7%,850,9%,128,5%,33385,5%,29978,5%,61009,5%
Native Hawaiian or Other Pacific Islander*,654,<1%,101,<1%,15,<1%,0,0%,987,<1%,906,<1%,1843,<1%
White*,317083,66%,84814,58%,5857,60%,2060,83%,456195,66%,432611,67%,856810,67%
Other race*,27205,6%,2658,2%,165,2%,9,<1%,71696,10%,65652,10%,133748,10%
Multiple race*,8872,2%,2636,2%,142,1%,<5,--,93,<1%,78,<1%,171,<1%
Declined,16167,--,3755,--,147,--,0,--,0,--,0,--,0,--
Unknown or pending further information,507023,--,16771,--,1982,--,368,--,29853,--,26414,--,54009,--
Sex Assigned at Birth,,,,,,,,,,,,,,
Female,419535,54%,82350,53%,5426,51%,1458,51%,388322,54%,363829,54%,728284,55%
Male,360030,46%,73338,47%,5289,49%,1400,49%,328087,46%,304365,46%,607281,45%
Other,232,<1%,270,<1%,17,<1%,<5,--,0,0%,0,0%,0,0%
Pending further information,226089,--,10356,--,1165,--,<5,--,822,--,726,--,1439,--
"Lesbian, Gay, Bisexual, Transgender, Queer, or Other Gender or Sexual Minority (LGBTQ+)‡",,,,,,,,,,,,,,
Yes,--,--,4363,5%,144,3%,--,--,--,--,--,--,--,--
No,--,--,83825,95%,4452,97%,--,--,--,--,--,--,--,--
Unknown or pending,--,--,78126,--,7301,--,--,--,--,--,--,--,--,--
Gender Identity‡,,,,,,,,,,,,,,
Cisgender woman,--,--,54780,53%,5987,50%,--,--,--,--,--,--,--,--
Cisgender man,--,--,48416,46%,5893,50%,--,--,--,--,--,--,--,--
"Gender non-conforming, gender non-binary, or transgender",--,--,732,1%,0,0%,--,--,--,--,--,--,--,--
Other,--,--,290,<1%,<5,--,--,--,--,--,--,--,--,--
Declined,--,--,29111,--,0,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,32985,--,14,--,--,--,--,--,--,--,--,--
Sexual Orientation‡,,,,,,,,,,,,,,
Asexual,--,--,62,<1%,5,<1%,--,--,--,--,--,--,--,--
Bisexual,--,--,1028,1%,19,<1%,--,--,--,--,--,--,--,--
Lesbian or gay,--,--,1603,2%,58,1%,--,--,--,--,--,--,--,--
Queer,--,--,203,<1%,<5,--,--,--,--,--,--,--,--,--
Straight,--,--,89221,96%,4729,98%,--,--,--,--,--,--,--,--
Other,--,--,781,1%,24,--,--,--,--,--,--,--,--,--
Declined,--,--,37666,--,2744,--,--,--,--,--,--,--,--,--
Unknown or pending,--,--,35750,--,4317,--,--,--,--,--,--,--,--,--
Source: Rhode Island Department of Health; Rhode Island Child and Adult Immunization Registry,,,,,,,,,,,,,,
"Notes: † Includes people who identify as any race. * Includes people who identify as non-Hispanic ethnicity or have unknown or declined ethnicity. ‡Gender identity and sexual orientation data collection began on 6/1/20. Detailed gender identity and sexual orientation definitions are available at: https://pflag.org/glossary. Percentages for counts of less than five are not shown. Percentages do not include people with unknown or declined demographics or those that are pending further information. Testing data exclude asymptomatic K-12 and employer test results that are reported to RIDOH in aggregate form. People tested for COVID-19, COVID-19 cases, COVID-19 associated deaths, and all vaccine data exclude out-of-state residents. COVID-19 hospitalizations include all patients hospitalized in Rhode Island, some of whom may not be Rhode Island residents. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated:,10/20/2021,,,,,,,,,,,,,
