ID,OptPost,method,gender,OptPre
4,50,MBI,0,50
5,67,MBI,0,50
6,61,MBI,0,30
8,92,MBI,0,67
12,59,MBI,1,42
13,16,MBI,1,8
15,42,MBI,0,8
16,69,MBI,1,12
17,42,MBI,1,42
18,59,MBI,1,50
21,44,MBI,0,0
22,52,MBI,1,25
24,84,MBI,0,50
25,91,MBI,0,83
28,84,MBI,0,17
29,59,MBI,0,17
30,84,MBI,0,24
31,84,MBI,1,44
33,59,MBI,0,44
34,67,MBI,0,44
35,67,MBI,1,28
36,67,traditional,1,55
37,70,traditional,1,58
39,50,traditional,0,42
40,84,traditional,0,71
44,50,traditional,1,41
46,20,traditional,0,15
48,46,traditional,0,42
49,42,traditional,1,17
51,44,traditional,0,44
52,46,traditional,1,16
53,50,traditional,0,32
54,55,traditional,0,50
55,75,traditional,1,42
56,50,traditional,0,32
57,39,traditional,0,30
60,55,traditional,1,42
