id,alcohol,cigarette,marijuana,sex
101,yes,yes,No/Low,Female
102,yes,yes,No/Low,Female
103,yes,yes,No/Low,Female
104,yes,yes,No/Low,Female
105,yes,yes,No/Low,Female
106,yes,yes,No/Low,Female
107,yes,yes,No/Low,Female
108,yes,yes,No/Low,Female
109,yes,yes,No/Low,Female
110,yes,yes,No/Low,Female
111,yes,yes,No/Low,Female
112,yes,yes,No/Low,Female
113,yes,yes,No/Low,Female
114,yes,yes,No/Low,Female
115,yes,yes,No/Low,Female
116,yes,yes,No/Low,Female
117,yes,yes,No/Low,Female
118,yes,yes,No/Low,Female
119,yes,yes,No/Low,Female
120,yes,yes,No/Low,Female
121,yes,yes,No/Low,Female
122,yes,yes,No/Low,Female
123,yes,yes,No/Low,Female
124,yes,yes,No/Low,Female
125,yes,yes,No/Low,Female
126,yes,yes,No/Low,Female
127,yes,yes,No/Low,Female
128,yes,yes,No/Low,Female
129,yes,yes,No/Low,Female
130,yes,yes,No/Low,Female
131,yes,yes,No/Low,Female
132,yes,yes,No/Low,Female
133,yes,yes,No/Low,Female
134,yes,yes,No/Low,Female
135,yes,yes,No/Low,Female
136,yes,yes,No/Low,Female
137,yes,yes,No/Low,Female
138,yes,yes,No/Low,Female
139,yes,yes,No/Low,Female
140,yes,yes,No/Low,Female
141,yes,yes,No/Low,Female
142,yes,yes,No/Low,Female
143,yes,yes,No/Low,Female
144,yes,yes,No/Low,Female
145,yes,yes,No/Low,Female
146,yes,yes,No/Low,Female
147,yes,yes,No/Low,Female
148,yes,yes,No/Low,Female
149,yes,yes,No/Low,Female
150,yes,yes,No/Low,Female
151,yes,yes,No/Low,Female
152,yes,yes,No/Low,Female
153,yes,yes,No/Low,Female
154,yes,yes,No/Low,Female
155,yes,yes,No/Low,Female
156,yes,yes,No/Low,Female
157,yes,yes,No/Low,Female
158,yes,yes,No/Low,Female
159,yes,yes,No/Low,Female
160,yes,yes,No/Low,Female
161,yes,yes,No/Low,Female
162,yes,yes,No/Low,Female
163,yes,yes,No/Low,Female
164,yes,yes,No/Low,Female
165,yes,yes,No/Low,Female
166,yes,yes,No/Low,Female
167,yes,yes,No/Low,Female
168,yes,yes,No/Low,Female
169,yes,yes,No/Low,Female
170,yes,yes,No/Low,Female
171,yes,yes,No/Low,Female
172,yes,yes,No/Low,Female
173,yes,yes,No/Low,Female
174,yes,yes,No/Low,Female
175,yes,yes,No/Low,Female
176,yes,yes,No/Low,Female
177,yes,yes,No/Low,Female
178,yes,yes,No/Low,Female
179,yes,yes,No/Low,Female
180,yes,yes,No/Low,Female
181,yes,yes,No/Low,Female
182,yes,yes,No/Low,Female
183,yes,yes,No/Low,Female
184,yes,yes,No/Low,Female
185,yes,yes,No/Low,Female
186,yes,yes,No/Low,Female
187,yes,yes,No/Low,Female
188,yes,yes,No/Low,Female
189,yes,yes,No/Low,Female
190,yes,yes,No/Low,Female
191,yes,yes,No/Low,Female
192,yes,yes,No/Low,Female
193,yes,yes,No/Low,Female
194,yes,yes,No/Low,Female
195,yes,yes,No/Low,Female
196,yes,yes,No/Low,Female
197,yes,yes,No/Low,Female
198,yes,yes,No/Low,Female
199,yes,yes,No/Low,Female
200,yes,yes,No/Low,Female
201,yes,yes,No/Low,Female
202,yes,yes,No/Low,Female
203,yes,yes,No/Low,Female
204,yes,yes,No/Low,Female
205,yes,yes,No/Low,Female
206,yes,yes,No/Low,Female
207,yes,yes,No/Low,Female
208,yes,yes,No/Low,Female
209,yes,yes,No/Low,Female
210,yes,yes,No/Low,Female
211,yes,yes,No/Low,Female
212,yes,yes,No/Low,Female
213,yes,yes,No/Low,Female
214,yes,yes,No/Low,Female
215,yes,yes,No/Low,Female
216,yes,yes,No/Low,Female
217,yes,yes,No/Low,Female
218,yes,yes,No/Low,Female
219,yes,yes,No/Low,Female
220,yes,yes,No/Low,Female
221,yes,yes,No/Low,Female
222,yes,yes,No/Low,Female
223,yes,yes,No/Low,Female
224,yes,yes,No/Low,Female
225,yes,yes,No/Low,Female
226,yes,yes,No/Low,Female
227,yes,yes,No/Low,Female
228,yes,yes,No/Low,Female
229,yes,yes,No/Low,Female
230,yes,yes,No/Low,Female
231,yes,yes,No/Low,Female
232,yes,yes,No/Low,Female
233,yes,yes,No/Low,Female
234,yes,yes,No/Low,Female
235,yes,yes,No/Low,Female
236,yes,yes,No/Low,Female
237,yes,yes,No/Low,Female
238,yes,yes,No/Low,Female
239,yes,yes,No/Low,Female
240,yes,yes,No/Low,Female
241,yes,yes,No/Low,Female
242,yes,yes,No/Low,Female
243,yes,yes,No/Low,Female
244,yes,yes,No/Low,Female
245,yes,yes,No/Low,Female
246,yes,yes,No/Low,Female
247,yes,yes,No/Low,Female
248,yes,yes,No/Low,Female
249,yes,yes,No/Low,Female
250,yes,yes,No/Low,Female
251,yes,yes,No/Low,Female
252,yes,yes,No/Low,Female
253,yes,yes,No/Low,Female
254,yes,yes,No/Low,Female
255,yes,yes,No/Low,Female
256,yes,yes,No/Low,Female
257,yes,yes,No/Low,Female
258,yes,yes,No/Low,Female
259,yes,yes,No/Low,Female
260,yes,yes,No/Low,Female
261,yes,yes,No/Low,Female
262,yes,yes,No/Low,Female
263,yes,yes,No/Low,Female
264,yes,yes,No/Low,Female
265,yes,yes,No/Low,Female
266,yes,yes,No/Low,Female
267,yes,yes,No/Low,Female
268,yes,yes,No/Low,Female
269,yes,yes,No/Low,Female
270,yes,yes,No/Low,Female
501,yes,yes,Medium,Female
502,yes,yes,Medium,Female
503,yes,yes,Medium,Female
504,yes,yes,Medium,Female
505,yes,yes,Medium,Female
506,yes,yes,Medium,Female
507,yes,yes,Medium,Female
508,yes,yes,Medium,Female
509,yes,yes,Medium,Female
510,yes,yes,Medium,Female
511,yes,yes,Medium,Female
512,yes,yes,Medium,Female
513,yes,yes,Medium,Female
514,yes,yes,Medium,Female
515,yes,yes,Medium,Female
516,yes,yes,Medium,Female
517,yes,yes,Medium,Female
518,yes,yes,Medium,Female
519,yes,yes,Medium,Female
520,yes,yes,Medium,Female
521,yes,yes,Medium,Female
522,yes,yes,Medium,Female
523,yes,yes,Medium,Female
524,yes,yes,Medium,Female
525,yes,yes,Medium,Female
526,yes,yes,Medium,Female
527,yes,yes,Medium,Female
528,yes,yes,Medium,Female
529,yes,yes,Medium,Female
530,yes,yes,Medium,Female
531,yes,yes,Medium,Female
532,yes,yes,Medium,Female
533,yes,yes,Medium,Female
534,yes,yes,Medium,Female
535,yes,yes,Medium,Female
536,yes,yes,Medium,Female
537,yes,yes,Medium,Female
