"Rate of COVID-19 Cases per 100,000 Population by Municipality of Residence and Week of Positive Test Date Excluding Congregate Setting Residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week of Result Date,BARRINGTON,BRISTOL,BURRILLVILLE,CENTRAL FALLS,CHARLESTOWN,COVENTRY,CRANSTON,CUMBERLAND,EAST GREENWICH,EAST PROVIDENCE,EXETER,FOSTER,GLOCESTER,HOPKINTON,JAMESTOWN,JOHNSTON,LINCOLN,LITTLE COMPTON,MIDDLETOWN,NARRAGANSETT,NEW SHOREHAM,NEWPORT,NORTH KINGSTOWN,NORTH PROVIDENCE,NORTH SMITHFIELD,PAWTUCKET,PORTSMOUTH,PROVIDENCE,RICHMOND,SCITUATE,SMITHFIELD,SOUTH KINGSTOWN,TIVERTON,WARREN,WARWICK,WEST GREENWICH,WEST WARWICK,WESTERLY,WOONSOCKET,TOTAL
Population,"16,178","22,234","16,453","19,382","7,780","34,575","81,196","34,652","13,073","47,449","6,782","4,689","10,062","8,111","5,496","29,235","21,644","3,505","16,078","15,550",827,"24,762","26,207","32,459","12,349","71,756","17,418","179,435","7,626","10,603","21,630","30,735","15,816","10,488","81,079","6,179","28,955","22,624","41,539","1,056,611"
3/1/20-3/7/20,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*
3/8/20-3/14/20,*,0,*,0,0,0,*,0,0,*,0,0,0,0,0,0,*,0,*,*,0,0,0,*,0,0,0,3,0,0,0,0,0,0,*,0,0,*,0,2
3/15/20-3/21/20,*,*,0,*,0,*,*,*,0,*,0,*,0,0,*,*,0,*,*,0,0,*,0,0,*,*,*,15,0,*,0,16,0,*,*,0,0,*,0,7
3/22/20-3/28/20,31,*,30,*,*,14,34,17,0,17,*,0,0,*,0,*,*,0,0,*,0,*,31,15,*,22,*,27,0,47,*,*,38,0,17,0,21,*,*,19
3/29/20-4/4/20,*,27,36,52,*,32,48,46,38,30,*,0,*,*,*,38,37,*,*,*,*,24,31,80,*,77,40,61,0,*,37,29,32,*,33,*,52,40,26,43
4/5/20-4/11/20,37,45,85,258,*,69,128,121,84,118,*,107,*,*,*,130,88,*,37,90,0,28,76,173,40,202,*,294,*,57,69,62,95,*,78,*,73,35,91,130
4/12/20-4/18/20,*,49,61,552,*,49,166,78,38,112,*,*,70,*,*,133,97,*,*,*,0,0,23,243,40,288,*,346,*,47,37,33,57,*,74,*,107,27,116,148
4/19/20-4/25/20,37,49,55,862,*,52,154,107,92,101,74,*,70,62,*,147,97,0,37,64,0,40,65,234,40,358,29,452,66,57,69,23,76,133,72,*,121,62,123,184
4/26/20-5/2/20,*,45,55,686,64,32,132,55,84,89,*,0,*,*,0,92,74,0,*,*,0,28,19,169,*,279,*,382,*,*,51,16,44,*,69,*,79,35,130,146
5/3/20-5/9/20,*,49,*,645,*,38,96,58,54,101,88,*,*,*,*,109,88,*,*,*,0,32,31,123,*,263,*,295,*,*,51,*,32,*,57,0,100,*,132,125
